eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
61.0,52.245,2422,5.3811833e-05,0.0,1.4408773,8.803325e-05,177.3117,0.367031991481781,570,1167360,534.0112168980004,1167360
61.0,56.29,2314,0.00013490215,0.0,1.4369334,-0.00023852976,180.57788,0.35837531089782715,580,1187840,543.8168236840002,1187840
61.0,59.33,2310,7.736033e-05,0.0,1.4369878,-0.00016052621,203.29123,0.35728001594543457,590,1208320,552.8345457679998,1208320
61.0,58.685,2429,5.617188e-05,0.0,1.43216,0.00023819826,199.56622,0.3812500238418579,600,1228800,561.6038813530004,1228800
61.0,57.11,1967,4.5221117e-05,0.0,1.4249687,-0.00016505021,184.99886,0.3907330632209778,610,1249280,570.9742805980004,1249280
61.0,56.39,1823,0.00063968205,0.00061035156,1.4241195,-0.00096248474,199.03838,0.35039621591567993,620,1269760,580.7260518780004,1269760
61.0,54.085,1921,6.360869e-05,0.0,1.4266549,-8.222414e-06,181.48232,0.34070754051208496,630,1290240,591.444934784,1290240
61.0,52.16,2350,0.00024997813,0.0,1.4259653,-5.4839184e-05,176.21777,0.36356592178344727,640,1310720,600.7583431129997,1310720
61.0,52.435,2408,0.00025668723,0.0,1.4247912,-6.175504e-05,147.38132,0.4077136516571045,650,1331200,609.7798345700003,1331200
61.0,54.485,1854,7.487081e-05,0.0,1.4240614,-0.00046398543,165.13556,0.35514187812805176,660,1351680,620.4501929600001,1351680
61.0,58.205,1863,7.1063105e-06,0.0,1.4187113,-7.009259e-05,176.84973,0.3612510561943054,670,1372160,631.3269219900003,1372160
61.0,59.115,2307,8.60512e-05,0.0,1.4128947,-0.00021824881,216.11945,0.34848999977111816,680,1392640,641.601310045,1392640
61.0,57.66,2089,0.00058648037,0.00024414062,1.4096093,-0.00069246994,164.76614,0.3950790762901306,690,1413120,650.779898576,1413120
61.0,63.03,2411,0.00034062838,0.0,1.4071453,-0.00033281566,245.0021,0.3229283094406128,700,1433600,660.3053632640003,1433600
61.0,58.175,2394,0.00011133497,0.0,1.4054321,-3.500335e-05,237.96652,0.34128832817077637,710,1454080,668.9879405170004,1454080
61.0,63.17,2400,0.0014043482,0.0032958984,1.3988724,-0.0012340053,249.43831,0.32293587923049927,720,1474560,677.7470431600004,1474560
61.0,60.4,2137,9.28599e-05,0.0,1.3943499,0.00019289477,219.7604,0.37469738721847534,730,1495040,686.9506881409998,1495040
61.0,58.525,2232,4.5166238e-05,0.0,1.3914526,-8.1770704e-05,203.54495,0.3474605679512024,740,1515520,696.1488372739996,1515520
61.0,57.285,2389,0.0002707425,0.0,1.3891827,-0.00045208895,219.32799,0.2824133634567261,750,1536000,705.1245186100005,1536000
61.0,58.09,2210,2.5959722e-05,0.0,1.3919553,-5.7752855e-05,212.81921,0.29480302333831787,760,1556480,714.1296828759996,1556480
61.0,57.95,2342,0.0017547258,0.011962891,1.390278,-0.001431559,188.0221,0.3268704414367676,770,1576960,723.5720672790003,1576960
61.0,55.585,2189,0.00017608784,0.0,1.387517,-0.00030769705,199.61633,0.34201401472091675,780,1597440,732.9051729479997,1597440
61.0,60.44,2225,3.1634638e-05,0.0,1.3847959,2.2675275e-05,244.88594,0.3101126551628113,790,1617920,741.8999056350003,1617920
61.0,59.56,2095,0.00069363305,0.0007324219,1.3777757,-0.00039061694,233.01237,0.31214439868927,800,1638400,751.410858788,1638400
61.0,59.45,2149,0.00036377468,0.00048828125,1.3750285,-0.00080243923,264.17227,0.29231172800064087,810,1658880,760.9767327999998,1658880
61.0,62.905,2355,0.0007446676,0.00061035156,1.363845,-0.0007639021,240.74294,0.30377018451690674,820,1679360,770.1888507949998,1679360
61.0,55.25,2234,0.0003199656,0.0,1.3595788,4.7814334e-05,153.61644,0.373665452003479,830,1699840,779.1988151739997,1699840
61.0,58.715,2365,0.000155336,0.0,1.3540252,-5.788743e-05,184.43295,0.3399091958999634,840,1720320,788.1524359880004,1720320
61.0,60.625,2404,9.648575e-05,0.0,1.3600391,-0.0001746575,214.53561,0.2993706464767456,850,1740800,797.1587096169997,1740800
61.0,61.095,2085,3.2585765e-05,0.0,1.3528244,1.7533705e-05,227.62048,0.3107460141181946,860,1761280,806.3700049230001,1761280
61.0,59.39,2235,0.00012975252,0.0,1.350715,8.886587e-05,193.54724,0.342711865901947,870,1781760,815.4584743300002,1781760
61.0,60.02,2291,0.00015644642,0.0,1.3409957,-4.639008e-05,261.47986,0.2921943664550781,880,1802240,824.5987227940004,1802240
61.0,61.73,2271,0.00012880148,0.0,1.3377535,4.869525e-05,247.99748,0.2802007794380188,890,1822720,833.6143979649996,1822720
61.0,66.345,2183,7.8832505e-05,0.0,1.331678,9.533964e-05,309.91614,0.24942171573638916,900,1843200,842.851928737,1843200
61.0,67.06,2339,0.00016041734,0.0,1.3316202,0.000107174346,317.61383,0.25534719228744507,910,1863680,851.8103778730001,1863680
61.0,66.01,2351,0.00016740935,0.0,1.3256038,-0.0005528532,274.7046,0.2756946086883545,920,1884160,860.7887558169996,1884160
61.0,64.96,2241,0.00053149986,0.0,1.3172407,-0.00035105294,262.22632,0.2780148386955261,930,1904640,869.8191469909998,1904640
61.0,67.54,2329,6.345571e-05,0.0,1.3150302,-2.5838643e-05,237.26425,0.32441580295562744,940,1925120,878.8925376179996,1925120
61.0,66.14,2288,0.00041783124,0.0,1.3100986,-0.00042908618,280.93542,0.29219919443130493,950,1945600,887.981821413,1945600
61.0,67.465,2163,0.00010432772,0.0,1.3031204,-0.00018267543,257.95972,0.32456231117248535,960,1966080,897.1381125380003,1966080
61.0,69.18,2197,0.0002779321,0.0,1.3025099,1.4512159e-05,326.8644,0.2648383378982544,970,1986560,906.2566085910003,1986560
61.0,65.785,2359,0.00018299876,0.0,1.2951659,-0.00014428588,338.347,0.2938128113746643,980,2007040,915.6108996880002,2007040
61.0,70.37,2184,0.0009933331,0.0012207031,1.3012476,-0.00048154744,310.10434,0.2961972951889038,990,2027520,924.6724833420003,2027520
61.0,71.415,2188,0.00016589268,0.0,1.2939522,-0.00017939051,362.79477,0.23567533493041992,1000,2048000,933.9801614850003,2048000
61.0,70.565,2359,2.2795042e-05,0.0,1.2909743,8.612797e-05,292.9595,0.306036114692688,1010,2068480,943.1547670130003,2068480
61.0,69.695,2171,0.00011270995,0.0,1.288624,-0.00031064247,339.08405,0.2879970669746399,1020,2088960,952.0972710200003,2088960
61.0,69.74,2200,8.788421e-05,0.0,1.2920305,1.0564065e-05,352.49365,0.2971723675727844,1030,2109440,961.0494492389998,2109440
61.0,70.0,2253,0.00018312661,0.0,1.2782905,0.0003503402,311.08893,0.30435049533843994,1040,2129920,970.238807574,2129920
61.0,70.86,2202,0.0023548654,0.0146484375,1.2668364,-0.00044370387,336.34232,0.2732812166213989,1050,2150400,979.4827011730004,2150400
61.0,69.395,2218,0.000107374115,0.0,1.256955,-5.0123832e-05,311.34445,0.29784268140792847,1060,2170880,988.7460677970003,2170880
61.0,69.905,2254,0.00029369432,0.00012207031,1.2511611,-0.00038991,329.67523,0.29611700773239136,1070,2191360,997.9993099650001,2191360
61.0,70.365,2303,0.002049745,0.01550293,1.2482524,-0.00058907043,352.26743,0.24054580926895142,1080,2211840,1007.0313837129997,2211840
61.0,71.45,2245,0.00050503074,0.0,1.2429321,0.00054406654,318.768,0.30447691679000854,1090,2232320,1015.8756888099997,2232320
61.0,72.22,2351,5.37038e-05,0.0,1.2418151,-1.800916e-05,389.036,0.23795711994171143,1100,2252800,1025.0248491860002,2252800
61.0,73.605,2193,0.0001810802,0.0,1.2453518,0.00026321952,381.49802,0.23815810680389404,1110,2273280,1033.893845349,2273280
61.0,72.455,2352,0.0003840687,0.0,1.2419248,0.0007430672,437.24365,0.23079824447631836,1120,2293760,1042.8753288730004,2293760
61.0,70.03,2189,9.107184e-05,0.0,1.2382914,8.5136344e-05,429.78424,0.22035503387451172,1130,2314240,1052.004158918,2314240
61.0,67.8,2178,8.788437e-05,0.0,1.234334,-0.0005231754,368.6244,0.29146063327789307,1140,2334720,1061.0748526650004,2334720
61.0,71.26,2297,0.0006131032,0.00048828125,1.2327585,-0.00018333731,410.55774,0.24361461400985718,1150,2355200,1070.0619635800003,2355200
61.0,68.655,2338,0.00030975087,0.00012207031,1.2266158,-0.00057585636,400.15994,0.27429884672164917,1160,2375680,1078.98958554,2375680
61.0,73.2,2220,9.431958e-05,0.0,1.2237744,-9.847366e-05,418.81677,0.26943618059158325,1170,2396160,1087.7067746860002,2396160
61.0,69.65,2317,0.00083012023,0.00048828125,1.2104284,0.0010150749,351.7095,0.25329798460006714,1180,2416640,1096.523136105,2416640
61.0,71.22,2235,0.000110275185,0.0,1.2072456,7.0802445e-05,336.72256,0.28833621740341187,1190,2437120,1105.5309085520003,2437120
61.0,71.655,2433,0.0008624288,0.0020751953,1.1983031,-0.0009091745,328.03955,0.24879568815231323,1200,2457600,1114.4570139770003,2457600
61.0,70.915,2553,0.001092688,0.00048828125,1.187904,0.00013572558,293.81543,0.2979580760002136,1210,2478080,1122.8365805570002,2478080
61.0,74.455,2101,0.00021753274,0.0,1.176478,-0.00061651197,279.2932,0.2999906539916992,1220,2498560,1131.625393364,2498560
61.0,68.935,2048,0.00022808813,0.0,1.1655216,0.0003676074,288.85764,0.2571107745170593,1230,2519040,1141.72983715,2519040
61.0,69.51,2446,0.0024706107,0.026977539,1.1662452,-0.0020205062,271.3104,0.3082388639450073,1240,2539520,1150.7994150369996,2539520
61.0,71.46,2333,0.0011561248,0.0029296875,1.1632762,-0.00069751596,302.15344,0.24557644128799438,1250,2560000,1159.4125881540003,2560000
61.0,68.86,2258,0.00028532778,0.0,1.1646451,-0.0003194013,322.0928,0.2686867117881775,1260,2580480,1168.250368266,2580480
61.0,68.38,2432,0.0026919418,0.022094727,1.1613243,-0.0015600898,348.46872,0.2074282169342041,1270,2600960,1177.3432770620002,2600960
61.0,70.24,2332,0.0012252084,0.0036621094,1.1621851,-0.00087268866,336.90588,0.2480170726776123,1280,2621440,1186.0682371780003,2621440
61.0,71.44,2224,0.0031666406,0.033447266,1.1539,-0.0026799394,353.70584,0.20855480432510376,1290,2641920,1194.7455081609996,2641920
61.0,72.82,2441,0.00022670698,0.0,1.1478833,0.00064282276,309.66522,0.2688431143760681,1300,2662400,1203.5430728009997,2662400
61.0,70.66,2348,0.002420245,0.017700195,1.1384076,-0.0018977013,300.3027,0.19992655515670776,1310,2682880,1212.4844866219992,2682880
61.0,70.54,2321,0.0017561924,0.010131836,1.1435674,-0.001132432,299.15976,0.25283920764923096,1320,2703360,1221.0041040119995,2703360
61.0,70.84,2340,0.0034664127,0.028686523,1.1371855,-0.0008182332,292.20605,0.238905668258667,1330,2723840,1229.880085658,2723840
61.0,66.335,2417,0.00028142048,0.0,1.1421328,-0.00045455297,266.84064,0.25899749994277954,1340,2744320,1238.4689107529994,2744320
61.0,65.23,2362,0.00012186651,0.0,1.1474434,-8.274891e-05,262.16852,0.2144034504890442,1350,2764800,1247.144570605,2764800
61.0,67.155,2293,0.0006300947,0.0,1.1383327,0.0011325608,261.37073,0.2272130846977234,1360,2785280,1255.7142089009994,2785280
61.0,68.05,2431,0.0025417411,0.017700195,1.1272659,-0.0019361738,256.32068,0.2562118172645569,1370,2805760,1264.5462632830004,2805760
61.0,70.33,2257,0.001077288,0.0007324219,1.1264379,0.00077512744,276.10303,0.2588164210319519,1380,2826240,1273.2098988710004,2826240
61.0,68.215,2048,0.00049177674,0.00012207031,1.125381,-0.0005475804,294.97067,0.25873470306396484,1390,2846720,1282.4634491140005,2846720
61.0,67.2,2148,0.00046854833,0.0,1.1266804,0.000118547076,288.88022,0.24239325523376465,1400,2867200,1291.9519718880001,2867200
61.0,70.585,2105,0.0017255561,0.0073242188,1.1292682,0.00013979754,286.18243,0.27171438932418823,1410,2887680,1301.7956423079995,2887680
61.0,71.31,2183,0.003085656,0.033203125,1.1362976,-0.0016357342,300.39008,0.24528491497039795,1420,2908160,1311.1116542159998,2908160
61.0,71.94,2214,0.00014746466,0.0,1.1422623,6.481477e-05,328.24622,0.2361665964126587,1430,2928640,1320.6284589610004,2928640
61.0,71.055,2081,0.00024198138,0.0,1.1418756,-0.00044236556,371.239,0.20878952741622925,1440,2949120,1330.2361470619999,2949120
